Level,Mission,Quest,Enemies,Key preview,Reward
0,0,0,—,Starting party,"Recruit Risa, Robin, Aldric with Signature 1; unlock all 1st–2nd basics; Health Potion, Healing Tonic, Family Seal"
1,1,1,Sir Roland + Knight Warden + Holy Cleric,Warden / Guard,All adventurers unlock Signature 2
2,1,2,Hunold the Piper + Rogue Bandit + Ranger Bandit,Rogue / Shock,Unlock all 3rd basics
3,1,3,Ashen Ella + Mage Acolyte + Trained Fighter,Mage / Burn,Crafty Shield
4,1,4,Sir Roland + Hunold the Piper + Ashen Ella,Base-class test,"Recruit Roland, Hunold, Ella; Rogue/Warden/Mage unlock with 3 basics"
5,2,5,Prince Charming + Royal Noble + Royal Ranger,Noble preview,Main-Gauche
6,2,6,Pinocchio + Shadow Warlock + Shadow Mage,Warlock / Malice,Vampire Fang
7,2,7,Prince Charming + Pinocchio + Shadow Rogue,Mixed-class test,"Recruit Prince Charming, Pinocchio; Noble/Warlock unlock with 3 basics"
8,3,8,Little Jack + Ranger Bandit + Holy Cleric,Fighter second adventurer,—
9,3,9,Lucky Constantine + Royal Noble + Royal Noble,Rogue second adventurer,Smoke Bomb
10,3,10,Porcus III + Pig Warden + Pig Warden,Warden second adventurer,Iron Buckler
11,3,11,Little Jack + Lucky Constantine + Porcus III,Wave test,"Recruit Jack, Constantine, Porcus"
12,4,12,Frederic + Trained Fighter + Hunter Ranger,Ranger second adventurer,Hunter’s Net
13,4,13,Matchstick Liesl + Mage Acolyte + Warlock Acolyte,Cleric second adventurer,Heart Amulet
14,4,14,March Hare + Mad Rogue + Mad Noble,Mage second adventurer,Lightning Boots
15,4,15,Frederic + Matchstick Liesl + March Hare,Wave test,"Recruit Frederic, Liesl, March Hare"
16,5,16,Green Knight + Knight Warden + Knight Cleric,Noble second adventurer,Misericorde
17,5,17,Rumpelstiltskin + Mage Acolyte + Trained Fighter,Warlock second adventurer,Spiked Mail
18,5,18,Green Knight + Rumpelstiltskin + Knight Cleric,second-copy completion test,"Recruit Green Knight, Rumpelstiltskin; unlock all 4th–5th basics"
19,6,19,Witch-Hunter Gretel + Ranger Bandit + Knight Warden,Fighter third adventurer begins,—
20,6,20,Reynard + Shadow Mage + Shadow Warlock,Rogue third adventurer begins,—
21,6,21,Lady of Reflections + Elder Noble + Elder Mage,Warden third adventurer begins,Arcane Focus
22,6,22,Witch-Hunter Gretel + Reynard + Lady of Reflections,Wave test,"Recruit Gretel, Reynard, Lady"
23,7,23,Briar Rose + Mad Noble + Mage Acolyte,Ranger third adventurer begins,—
24,7,24,Snowkissed Aurora + Dwarven Fighter + Dwarven Fighter,Cleric third adventurer begins,Ancient Hourglass
25,7,25,Witch of the Woods + Shadow Rogue + Holy Cleric,Mage third adventurer begins,—
26,7,26,Briar Rose + Snowkissed Aurora + Witch of the Woods,Wave test,"Recruit Briar, Aurora, Witch"
27,8,27,Rapunzel + Royal Ranger + Shadow Warlock,Noble third adventurer begins,—
28,8,28,Sea Wench Asha + Trained Fighter + Mage Acolyte,Warlock third adventurer begins,Holy Diadem
29,8,29,Rapunzel + Sea Wench Asha + Royal Ranger,final roster test,"Recruit Rapunzel, Sea Wench Asha; all adventurers unlock Signature 3"
30,9,30,Apex Fighter + Apex Cleric + Apex Warden,final exam,Unlock Twist abilities for all
30,10,31,Dragon Head (Noble) + Dragon Head (Mage) + Dragon Head (Warlock),Final boss encounter,Unlock Ranked Glory ladder; Fantasia complete