Enemy Name,Locale,Tier,Humanoid,HP,ATK,DEF,SPE,Innate Skill,Class/Skill,Primary Weapon,Primary Weapon Type,Primary Weapon Ammo/CD,Primary Weapon Strike,Primary Weapon Spell/Skill,Secondary Weapon,Secondary Weapon Type,Secondary Weapon Ammo/CD,Secondary Weapon Strike,Secondary Weapon Spell/Skill,Artifact,Artifact Spell,Artifact Reactive
Pixie Swarm,The Forest of Dreams,T1,No,180,45,45,75,Glitterdust: Enemies who Strike the Pixie Swarm have -15 Attack for 2 rounds.,,Fey Dust,Magic,CD 2,55 Power.,,,,,,,,,
Blackthorn Boar,The Forest of Dreams,T1,No,230,55,55,35,Bristled Hide: Takes 20% less damage from Ranged Strikes.,,Tusks,Melee,—,80 Power.,,,,,,,,,
Moss Sprite,The Forest of Dreams,T1,Yes,170,40,50,65,,Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Nature's Touch,Magic,CD 1,50 Power.,,,,,,,,,
Woodwose,The Forest of Dreams,T1,Yes,250,45,60,30,,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Gnarled Club,Melee,—,85 Power.,,,,,,,,,
Will-o'-Wisp,The Forest of Dreams,T1,No,150,50,40,80,Luring Light: Taunts the target of its Strike for 1 round.,,Ghost Flame,Magic,CD 1,55 Power.,,,,,,,,,
Faun Piper,The Forest of Dreams,T1,Yes,190,45,45,60,,Cleric / Medic: +50 HP. Healing effects cleanse status conditions and stat penalties.,Thorn Dart,Ranged,3 Ammo,45 Power.,,,,,,,,,
Unicorn,The Forest of Dreams,T2,No,270,55,65,50,Purifying Aura: Allies restore 20 HP at end of round.,,Spiraling Horn,Melee,—,95 Power.,"Moonbeam (Spell, CD 2): Target ally restores 65 HP.",,,,,,,,
Erlking Scout,The Forest of Dreams,T2,Yes,220,60,50,70,,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Fey Shortbow,Ranged,3 Ammo,60 Power.,"Fey Arrow (Spell, CD 2): Next Strike Roots target for 2 rounds.",,,,,,,,
Cockatrice,The Forest of Dreams,T2,No,240,55,60,55,Petrifying Gaze: Enemies Struck have -25 Speed for 2 rounds.,,Stone Beak,Magic,CD 1,70 Power.,Stone Feathers (Skill): Takes 15% less damage while frontline.,,,,,,,,
Treant Watcher,The Forest of Dreams,T2,Yes,290,50,70,40,,"Warden / Vigilant: +50 HP. Guarded for 2 rounds when Swapping, Switching, or Skipping.",Ironwood Limb,Melee,—,90 Power.,"Deep Roots (Spell, CD 2): Root target for 2 rounds. Guard self for 2 rounds.",,,,,,,,
Centaur Druid,The Forest of Dreams,T3,Yes,340,65,70,65,"Verdant Blessing: When healing an ally, also grant +15 Defense for 2 rounds.",Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Heartwood Bow,Ranged,3 Ammo,60 Power.,"Rejuvenate (Spell, CD 2): Target ally restores 80 HP.",,,,,,,,
Fevered Maenad,The Forest of Dreams,T3,Yes,310,75,65,80,Witch's Bargain: Restores 25 HP when inflicting a status condition.,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Cursed Gnarlthorn,Magic,CD 1,75 Power. Burns target for 2 rounds.,"Hex (Spell, CD 2): Weaken and Expose target for 2 rounds.",,,,,,,,
Owlbear Matriarch,The Forest of Dreams,T3,No,370,70,80,50,Protective Fury: +25 Attack when an ally is below 50% HP.,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Rending Claws,Melee,—,100 Power.,"Savage Roar (Spell, CD 2): Weaken all enemies for 2 rounds.",,,,,,,,
Faerie Dragon,The Forest of Dreams,T3,No,300,70,65,90,Prismatic Scales: First Spell targeting the Faerie Dragon each round deals 0 damage.,Cleric / Medic: +50 HP. Healing effects cleanse status conditions and stat penalties.,Breath of Wonder,Magic,CD 1,70 Power.,"Dreamdust (Spell, CD 2): Root target enemy for 2 rounds. Target ally restores 50 HP.",,,,,,,,
"Cu Chulainn, Spearbearer",The Forest of Dreams,T4,Yes,370,85,75,100,Tragic Duelist: Cu Chulainn deals +25 damage to enemies whose Defense is within 15 of his Attack.,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Gae Bolg,Melee,—,100 Power. Exposes target for 2 rounds.,"Berserk (Spell, CD 2): Swap to frontline; next Strike ignores targeting, deals +25 damage, and has 25% recoil.",Three Chairs,Ranged,3 Ammo,65 Power. Shocks target for 2 rounds.,Break and Enter (Skill): Strikes against Exposed targets have 25% Lifesteal.,Papa Bear's Bowl (+15 ATK),Too Hot (CD 2): Burn target enemy for 2 rounds.,
"Titania's Champion, Lysander",The Forest of Dreams,T4,No,400,90,85,75,Fey Predator: Strikes deal +25 damage to enemies with a status condition.,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Moonlit Fangs,Melee,—,110 Power.,"Howl of the Hunt (Spell, CD 2): Spotlight all enemies for 2 rounds.",Starfire Breath,Magic,CD 1,80 Power. Burns target for 2 rounds.,Celestial Flames (Skill): Burns inflicted by Aethon deal 12% max HP instead of 8%.,Collar of the Wild Hunt (+15 DEF),Relentless Pursuit (CD 2): Next Strike ignores targeting; Roots target for 2 rounds.,
Baba Yaga the Shambler,The Forest of Dreams,T4,Yes,390,80,80,95,"Sovereign Command: When Nissa Strikes, lowest HP ally restores 25 HP.",Ranger / Armed: +25 HP. First Ranged Strike after Switching weapons does not consume Ammo.,Verdant Longbow,Ranged,4 Ammo,70 Power. Roots target for 2 rounds.,"Crown of Thorns (Spell, CD 2): Root and Weaken target for 2 rounds.",Royal Scepter,Magic,CD 1,80 Power. Guards Nissa for 2 rounds.,Fey Decree (Skill): Rooted enemies take +15 damage from all sources.,Diadem of the Glade (+15 SPD),Sylvan Shield (CD 2): Target ally Guarded for 2 rounds; restores 40 HP.,
Horned King Cernunnos,The Forest of Dreams,T5,No,480,85,105,70,"Lord of Beasts: At start of each round, all allies restore 15 HP.","Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Antler Crown,Melee,—,110 Power. Guards self for 2 rounds.,"Wild Dominion (Spell, CD 2): Guard all allies for 2 rounds.",Nature's Wrath,Ranged,3 Ammo,70 Power. Roots target for 2 rounds.,Ancient Growth (Skill): Restores 20 HP per round while Guarded.,Heart of the Forest (+50 HP),Renewal (CD 2): All allies restore 60 HP.,"Nature's Revenge (CD 2): When taking Strike damage, Root attacker for 2 rounds."
"Oberon, Faerie Lord",The Forest of Dreams,T5,Yes,450,100,95,80,"Fey Knight's Oath: When Striking, lowest HP ally restores 30 HP.",Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,Moonsilver Blade,Melee,—,115 Power. Exposes target for 2 rounds.,"Faerie Fire (Spell, CD 2): Expose and Spotlight all enemies for 2 rounds.",Stardust Shield,Melee,—,95 Power. Guards self for 2 rounds.,Radiant Bulwark (Skill): Reflects 15% of Strike damage while Guarded.,Titania's Favor (+50 ATK),"Queen's Blade (CD 2): Next Strike +40 damage, 30% Lifesteal.","Fey Resilience (CD 2): When dropping below 50% HP from a Strike, restore 60 HP."
"The Erlking, Death Crowned",The Forest of Dreams,T5,Yes,430,95,90,90,"Walking House: When Swapping, creates ward reducing damage to allies at new position by 20% for 2 rounds.",Mage / Arcane: +15 HP. First Spell after Switching weapons does not go on cooldown.,Mortar and Pestle,Magic,CD 1,85 Power. Weakens target for 2 rounds.,"Witch's Cauldron (Spell, CD 2): Deal 50 damage to target. Restore equal HP to lowest HP ally.",Iron Teeth,Melee,—,100 Power. 20% Lifesteal.,"Baba's Legacy (Skill): When casting a Spell, Swap positions.",Skull Gate (+50 DEF),Death's Passage (CD 2): Target takes +30 damage from all sources for 2 rounds.,"Bone Ward (CD 2): When ally takes fatal damage, survive at 1 HP."
"The Morrigan, Great Queen",The Forest of Dreams,Apex,Yes,560,105,115,85,"Dreamer's Veil: At start of round, lowest HP ally restores 40 HP. Healing effects also Guard targets for 1 round.","Cleric / Oracle, Martyr, or Hierophant (Legendary): One Legendary Cleric skill per encounter variant.",Wand of Dreams,Magic,CD 1,90 Power. Roots target for 2 rounds.,"Eternal Slumber (Spell, CD 2): Target enemy cannot Strike or cast Spells next round. Target ally restores 80 HP.",Staff of Nightmares,Magic,CD 2,110 Power. Spread. Weakens targets for 2 rounds.,Night Terror (Skill): Weakened enemies take +20 damage from all sources.,Crown of the Dreaming (+50 DEF),Dreamwalk (CD 2): All allies restore 70 HP and are cleansed of status conditions.,"Lucid Shield (CD 2): When ally takes fatal damage, survive at 1 HP; restore 50 HP."
Roc Chick,The Cloud Peaks,T1,No,200,55,45,60,Fledgling Wings: Can Strike backline enemies in its lane.,,Talon Rake,Melee,—,75 Power.,,,,,,,,,
Mountain Goatkin,The Cloud Peaks,T1,Yes,220,55,50,45,,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Horned Charge,Melee,—,80 Power.,,,,,,,,,
Sky Serpent,The Cloud Peaks,T1,No,175,50,40,75,Coiling Strike: Strikes Swap the target to frontline.,,Lightning Breath,Magic,CD 2,60 Power.,,,,,,,,,
Peak Bandit,The Cloud Peaks,T1,Yes,195,50,45,70,,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Throwing Picks,Ranged,3 Ammo,50 Power.,,,,,,,,,
Thunderhawk,The Cloud Peaks,T1,No,185,50,40,80,Static Talons: Strikes Shock target for 1 round.,,Dive Strike,Ranged,3 Ammo,50 Power.,,,,,,,,,
Stone Dwarf,The Cloud Peaks,T1,Yes,245,45,65,25,,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Stone Hammer,Melee,—,90 Power.,,,,,,,,,
Roc Juvenile,The Cloud Peaks,T2,No,280,60,55,55,Raptor's Dive: Strikes deal +25 damage from frontline if Swapped this round.,,Iron Talons,Melee,—,100 Power.,Updraft (Skill): Swaps positions after Striking.,,,,,,,,
Cloud Giant Raider,The Cloud Peaks,T2,Yes,285,65,60,45,,Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,Sky Mace,Melee,—,95 Power.,"Thunderstep (Spell, CD 2): Swap positions; +25 Attack for 2 rounds.",,,,,,,,
Harpy Windcaller,The Cloud Peaks,T2,No,225,55,50,75,Shriek: Enemies Struck have -15 Defense for 2 rounds.,,Gale Wing,Magic,CD 1,65 Power.,"Gust (Spell, CD 1): Swap target enemy to frontline.",,,,,,,,
Stone Sentinel,The Cloud Peaks,T2,Yes,300,55,70,35,,"Warden / Vigilant: +50 HP. Guarded for 2 rounds when Swapping, Switching, or Skipping.",Granite Fist,Melee,—,95 Power.,"Earthquake (Spell, CD 2): Deal 30 damage to all enemies.",,,,,,,,
Cloud Giant Berserker,The Cloud Peaks,T3,Yes,380,80,70,55,Giant's Fury: +25 Attack when below 50% HP.,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Sky Cleaver,Melee,—,110 Power.,"Sky Slam (Spell, CD 2): Next Strike deals +30 damage; Exposes target for 2 rounds.",,,,,,,,
Storm Griffon,The Cloud Peaks,T3,No,340,75,70,80,Eye of the Storm: Immune to Shock. Shocked enemies in its lane take +15 damage.,Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,Storm Talon,Melee,—,95 Power. Shocks target for 2 rounds.,"Dive Bomb (Spell, CD 2): Next Strike ignores targeting and deals +25 damage.",,,,,,,,
Valkyrie Scout,The Cloud Peaks,T3,Yes,310,75,65,85,Wings of Judgment: Can Strike any enemy regardless of position.,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Valkyrie Shortbow,Ranged,3 Ammo,65 Power.,"Chooser's Mark (Spell, CD 2): Spotlight and Expose target for 2 rounds.",,,,,,,,
Avalanche Troll,The Cloud Peaks,T3,No,360,70,85,40,Regeneration: Restores 25 HP at end of round.,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Boulder Arm,Melee,—,105 Power.,"Rockslide (Spell, CD 2): Deal 40 damage to all enemies; Root frontline enemy for 2 rounds.",,,,,,,,
"Brynhild, Fallen Valkyrie",The Cloud Peaks,T4,Yes,400,95,80,85,"Einherjar's Rage: When knocking out an enemy, restore 50 HP and +25 Speed for 2 rounds.",Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Gungnir Shard,Melee,—,115 Power. Exposes target for 2 rounds.,"Valkyrie's Dive (Spell, CD 2): Swap to frontline; next Strike ignores targeting and deals +25 damage.",Shield of Asgard,Melee,—,90 Power. Guards self for 2 rounds.,Shieldwall (Skill): Melee Strikes deal +15 damage while Guarded.,War Pennant (+15 ATK),Battle Cry (CD 2): +25 Attack for 2 rounds; cleanse status conditions.,
"Pecos, the Cloudbreaker",The Cloud Peaks,T4,No,420,90,80,90,Stormborn: Immune to Shock. Strikes Shock the target for 2 rounds.,Fighter / Vanguard: +50 HP. Melee Strikes deal 15 damage to each enemy behind the target.,Storm Beak,Melee,—,110 Power. +50 Power vs Shocked targets.,"Tempest Dive (Spell, CD 2): Swap to frontline; deal 40 damage to all enemies.",Thunder Talons,Ranged,3 Ammo,70 Power. Shocks target for 2 rounds.,Chain Lightning (Skill): Ranged Strikes deal 20 damage to enemies adjacent to the target.,Storm Plume (+15 SPD),Cyclone (CD 2): Swap all enemies' positions.,
"The Iron Abbot, Ferrus",The Cloud Peaks,T4,Yes,440,75,100,60,Living Fortress: Allies behind Ferrus take 15% less damage.,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Pillar of Faith,Melee,—,100 Power. Taunts target for 2 rounds.,"Consecrate (Spell, CD 2): Guard self and all allies for 2 rounds.",Bell of Judgment,Magic,CD 2,85 Power. Spread. Weakens targets for 2 rounds.,Penance (Skill): Weakened enemies deal 15% less damage to Ferrus.,Stone Mantle (+15 DEF),Fortify (CD 2): +25 Defense for 2 rounds; cleanse Root and Expose.,
"Sun Wukong, the Defiant",The Cloud Peaks,T5,Yes,440,105,85,110,"72 Transformations: When Swapping, gain +25 to a random stat for 2 rounds.",Rogue / Covert: +25 HP. Can Swap as Bonus Action each round a Spell is cast.,Ruyi Jingu Bang,Melee,—,120 Power.,"Clone (Spell, CD 2): Next round, Wukong acts twice.",Cloud Nimbus,Magic,CD 1,80 Power. Swap positions after casting.,Trickster King (Skill): Spells do not go on cooldown when cast from backline.,Five-Peaked Prison (+50 ATK),Havoc in Heaven (CD 2): Deal 50 damage to all enemies; Expose all for 2 rounds.,"Stone Skin (CD 2): When Struck below 50% HP, take 50% less damage."
"Polyphemus, the One-Eyed",The Cloud Peaks,T5,No,500,95,100,65,Cyclops Rage: +25 Attack for each knocked-out ally.,"Warden / Vigilant: +50 HP. Guarded for 2 rounds when Swapping, Switching, or Skipping.",Shepherd's Boulder,Ranged,3 Ammo,80 Power. Roots target for 2 rounds.,"Cave-In (Spell, CD 2): Deal 60 damage to frontline enemy; Root for 2 rounds.",Cyclops Club,Melee,—,120 Power. Weakens target for 2 rounds.,Thick-Skulled (Skill): Takes 25% less damage from Magic Strikes.,Eye of the Cyclops (+50 DEF),"Baleful Gaze (CD 2): Expose, Spotlight, and -25 Speed to target for 2 rounds.","Titan's Endurance (CD 2): When taking fatal damage, survive at 1 HP."
"Jotunsdottir, the Frost Giantess",The Cloud Peaks,T5,Yes,480,100,95,75,Frostbite Aura: Enemies who Strike Jotunsdottir have -25 Speed for 2 rounds.,Fighter / Martial: +25 HP. Melee Strikes deal +25 damage.,Glacial Warhammer,Melee,—,115 Power. -25 Speed to target for 2 rounds.,"Permafrost (Spell, CD 2): Root and Weaken target for 2 rounds.",Hailstorm,Ranged,3 Ammo,75 Power. Spread.,Blizzard Heart (Skill): Spread Strikes do not suffer damage penalty.,Crown of Eternal Winter (+50 HP),Absolute Zero (CD 2): All enemies -25 Speed and -25 Attack for 2 rounds.,"Ice Armor (CD 2): When Struck, Guard self for 2 rounds."
"Kumasogami, the Mountain Eater",The Cloud Peaks,Apex,No,580,115,110,80,"Earthshaker: Melee Strikes deal 25 damage to all other enemies. When Swapping to frontline, deal 30 damage to all enemies.","Fighter / Warlord, Berserker, or Juggernaut (Legendary): One Legendary Fighter skill per encounter variant.",Mountain Fang,Melee,—,120 Power. Exposes target for 2 rounds.,"Devour (Spell, CD 2): Deal 60 damage to target; restore equal HP.",Avalanche Arm,Melee,—,110 Power. Spread.,Tectonic Slam (Skill): Spread Strikes Weaken targets for 2 rounds.,Heart of the Mountain (+50 ATK),Seismic Rend (CD 2): Deal 50 damage to all enemies; Expose all for 2 rounds.,"Stoneblood (CD 2): When dropping below 50% HP, +50 Defense for 2 rounds."
Bog Leech,The Blackwells,T1,No,200,50,45,40,Blood Drain: Strikes have 25% Lifesteal.,,Maw,Melee,—,70 Power. 20% Lifesteal.,,,,,,,,,
Swamp Hag,The Blackwells,T1,Yes,185,45,50,55,,Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Mud Hex,Magic,CD 2,55 Power.,,,,,,,,,
Mire Crawler,The Blackwells,T1,No,225,50,55,35,Bog Walker: Immune to Root. Strikes Root target for 1 round.,,Crushing Pincers,Melee,—,80 Power.,,,,,,,,,
Drowned Soldier,The Blackwells,T1,Yes,240,45,60,30,,"Warden / Vigilant: +50 HP. Guarded for 2 rounds when Swapping, Switching, or Skipping.",Rusted Halberd,Melee,—,85 Power.,,,,,,,,,
Plague Rat,The Blackwells,T1,No,165,45,35,75,Pestilence: Strikes Burn target for 2 rounds.,,Venomous Bite,Ranged,3 Ammo,40 Power.,,,,,,,,,
Bog Witch,The Blackwells,T1,Yes,175,50,45,60,,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Swamp Bolt,Magic,CD 1,55 Power.,,,,,,,,,
Hydra Spawn,The Blackwells,T2,No,290,55,60,40,Twin Heads: Strikes hit twice at half damage.,,Hydra Fangs,Melee,—,85 Power.,"Regrowth (Spell, CD 2): Restore 70 HP.",,,,,,,,
Fenfolk Hexer,The Blackwells,T2,Yes,230,60,55,65,,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Hex Bolt,Magic,CD 1,70 Power. Weakens target for 2 rounds.,"Curse of Decay (Spell, CD 2): Burn and Weaken target for 2 rounds.",,,,,,,,
Giant Snapping Turtle,The Blackwells,T2,No,300,50,75,30,Vice Grip: Strikes Root target for 2 rounds.,,Bone Beak,Melee,—,90 Power.,"Iron Shell (Skill): Takes 25% less damage while frontline, -25% backline.",,,,,,,,
Marshland Druid,The Blackwells,T2,Yes,250,50,60,50,,Cleric / Medic: +50 HP. Healing effects cleanse status conditions and stat penalties.,Briar Shot,Ranged,3 Ammo,55 Power. Roots target for 2 rounds.,"Entangle (Spell, CD 2): Root all enemies for 2 rounds.",,,,,,,,
Troll of the Fens,The Blackwells,T3,No,380,70,80,40,Regeneration: Restores 25 HP end of round unless Burned.,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Massive Fist,Melee,—,105 Power.,"Foul Regeneration (Spell, CD 1): Restore 50 HP; remove Burn.",,,,,,,,
Banshee of the Mire,The Blackwells,T3,Yes,300,80,60,85,"Deathly Shriek: When knocked out, deal 50 damage to all enemies.",Mage / Arcane: +15 HP. First Spell after Switching weapons does not go on cooldown.,Wail,Magic,CD 1,80 Power. -25 Speed to target for 2 rounds.,"Wail of Sorrow (Spell, CD 2): Deal 40 damage to all enemies; -25 Attack for 2 rounds.",,,,,,,,
Black Knight Revenant,The Blackwells,T3,Yes,370,75,75,55,Undying Hate: Survives fatal damage once per encounter at 1 HP.,"Warden / Vigilant: +50 HP. Guarded for 2 rounds when Swapping, Switching, or Skipping.",Cursed Greatsword,Melee,—,105 Power. Weakens target for 2 rounds.,"Cursed Challenge (Spell, CD 2): Taunt and Expose target for 2 rounds.",,,,,,,,
Swamp Basilisk,The Blackwells,T3,No,340,70,70,60,Toxic Blood: Enemies who Strike the Basilisk are Burned for 2 rounds.,Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Poison Gaze,Magic,CD 1,75 Power. Roots target for 2 rounds.,"Miasma (Spell, CD 2): Burn and Weaken all enemies for 2 rounds.",,,,,,,,
Jenny Greenteeth,The Blackwells,T4,Yes,400,90,80,85,Drowning Grasp: Rooted enemies take +25 damage from Jenny's Strikes.,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Brackish Staff,Magic,CD 1,85 Power. Roots target for 2 rounds.,"Pull Under (Spell, CD 2): Root and Expose target; deal 40 damage.",Bog Iron Claws,Melee,—,100 Power. 20% Lifesteal.,Mire's Embrace (Skill): Lifesteal is doubled against Rooted enemies.,Pendant of Filth (+15 DEF),Putrid Shield (CD 2): Guard self for 2 rounds; enemies who Strike Jenny are Weakened for 2 rounds.,
"Grendel, the Mere-Stalker",The Blackwells,T4,No,450,85,95,60,Fury of the Depths: +25 Attack for each status condition on Grendel.,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Crushing Grip,Melee,—,110 Power. Roots target for 2 rounds.,"Death Embrace (Spell, CD 2): Deal 50 damage to target and 50 to self; Weaken target for 2 rounds.",Mere-Howl,Magic,CD 2,80 Power. Spread. -25 Speed to targets for 2 rounds.,Abyssal Echo (Skill): Spread Strikes also Root targets for 1 round.,Grendel's Arm (+15 ATK),Unstoppable (CD 2): Immune to status conditions next round.,
"The Will-o'-Queen, Ignatia",The Blackwells,T4,No,380,80,75,100,False Light: Enemies who target Ignatia with a Spell are Taunted for 2 rounds.,Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Phantom Flame,Magic,CD 1,75 Power. Burns target for 2 rounds.,"Siren's Glow (Spell, CD 2): Taunt target enemy for 2 rounds; lowest HP ally restores 60 HP.",Marsh Lantern,Ranged,3 Ammo,60 Power. Spotlights target for 2 rounds.,Beacon (Skill): Spotlighted enemies take +15 damage from allies.,Wisp Crown (+15 SPD),Wandering Lights (CD 2): Spotlight and Taunt all enemies for 1 round.,
"Grendel's Mother, She of the Mere",The Blackwells,T5,No,500,90,110,70,Matriarch's Wrath: +50 Attack for 2 rounds when an ally is knocked out.,"Warden / Vigilant: +50 HP. Guarded for 2 rounds when Swapping, Switching, or Skipping.",Abyssal Blade,Melee,—,115 Power. Weakens target for 2 rounds.,"Mere's Fury (Spell, CD 2): Deal 60 damage to all enemies; Weaken all for 2 rounds.",Drowning Tide,Magic,CD 1,85 Power. Roots target for 2 rounds.,Relentless Tide (Skill): Rooted enemies cannot heal.,Hilt of the Mere (+50 DEF),Abyssal Shield (CD 2): Guard self and all allies for 2 rounds; +25 Defense for 2 rounds.,"Mother's Vengeance (CD 2): When ally takes fatal damage, deal 80 damage to the attacker."
"The Headless Horseman, Dullahan",The Blackwells,T5,Yes,430,100,85,115,Death's Herald: Enemies below 30% HP cannot heal.,Rogue / Assassin: +25 HP. Ignores targeting restrictions against enemies who Swapped last round.,Spine Whip,Melee,—,110 Power. Shocks target for 2 rounds.,"Spectral Gallop (Spell, CD 2): Swap to frontline; Strike ignores targeting; +25 damage.",Severed Head,Magic,CD 1,85 Power. -25 Defense to target for 2 rounds.,Dread Gaze (Skill): Enemies with a stat penalty take +15 damage.,Death's Bridle (+50 SPD),Ride of the Dead (CD 2): Next 2 Strikes ignore Guard and targeting restrictions.,Headless Resilience (CD 2): Survive fatal damage at 1 HP; +25 Speed for 2 rounds.
"The Styx Ferryman, Charon",The Blackwells,T5,Yes,460,95,90,85,"Toll of Passage: Each round, the lowest HP enemy takes 5% max HP damage.",Mage / Arcane: +15 HP. First Spell after Switching weapons does not go on cooldown.,River Styx Oar,Magic,CD 1,90 Power. Burns target for 2 rounds.,"Passage Denied (Spell, CD 2): Target enemy's Spells have +2 cooldown for 2 rounds.",Coin of the Dead,Ranged,3 Ammo,70 Power. Weakens target for 2 rounds.,"Ferryman's Toll (Skill): When enemies heal, Charon restores the same amount.",The Black Barge (+50 HP),Cross the River (CD 2): Deal 50 damage to all enemies; restore 50 HP to self.,"Soul Anchor (CD 2): When an enemy would restore HP, halve the amount."
"The Nuckelavee, Tideblight",The Blackwells,Apex,No,600,100,120,75,"Blight Aura: At start of round, all enemies take 5% max HP damage. Enemies with a status condition take 8% instead.","Warden / Colossus, Sentinel, or Ironclad (Legendary): One Legendary Warden skill per encounter variant.",Plague Arm,Melee,—,115 Power. Burns and Weakens target for 2 rounds.,"Mortasheen (Spell, CD 2): All enemies are Burned and Weakened for 2 rounds.",Tidecrusher,Melee,—,110 Power. Roots target for 2 rounds. Guards self for 2 rounds.,Rising Mire (Skill): Root all enemies for 2 rounds.,Skinless Crown (+50 DEF),Festering Wounds (CD 2): All enemies' healing halved for 2 rounds; deal 30 damage to all.,Undying Horror (CD 2): Survive fatal damage at 1 HP; Guard self for 2 rounds.
Spark Hare,The Static Plains,T1,No,160,50,35,80,Static Charge: Shocked enemies who Strike take 15% recoil.,,Arc Bolt,Ranged,3 Ammo,45 Power. Shocks target for 1 round.,,,,,,,,,
Thunder Shaman,The Static Plains,T1,Yes,180,55,45,65,,Mage / Archmage: +25 HP. Magic Strikes deal +15 damage; do not go on cooldown in frontline.,Storm Staff,Magic,CD 1,55 Power.,,,,,,,,,
